,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,buy_price,cumsum,buy_price_rate
743,600268.SH,国电南自,6,20200421,10.79,11.3,9.66,11.3,10.27,1.03,10.0292,1651467,1728452.87,电气设备,12.55,11.0,-172.06000000000003,-2.65
744,600268.SH,国电南自,7,20200422,11.0,12.43,10.81,12.43,11.3,1.13,10.0,1410827,1685216.1530000002,电气设备,-8.66,12.99,-180.72000000000003,4.51
747,000609.SZ,中迪投资,3,20200429,5.6,5.97,5.52,5.97,5.43,0.54,9.9448,829994,484526.653,区域地产,19.86,5.97,-160.86,0.0
750,002046.SZ,国机精工,6,20200513,9.38,9.87,9.33,9.87,8.97,0.9,10.0334,606043,586923.958,机械基件,2.07,10.29,-158.79000000000002,4.26
751,002046.SZ,国机精工,7,20200514,10.29,10.86,10.05,10.86,9.87,0.99,10.0304,853133,907925.2159999999,机械基件,3.52,11.04,-155.27,1.66
752,002046.SZ,国机精工,8,20200515,11.04,11.95,10.22,11.95,10.86,1.09,10.0368,802022,889105.1190000001,机械基件,-5.81,12.01,-161.08,0.5
753,603696.SH,安记食品,5,20200518,14.58,15.88,14.58,15.88,14.44,1.44,9.9723,388300,592546.136,食品,10.97,15.58,-150.11,-1.89
755,603929.SH,亚翔集成,5,20200520,22.36,22.36,21.51,22.36,20.33,2.03,9.9852,341100,761497.16,装修装饰,-11.22,22.0,-161.33,-1.61
757,601778.SH,晶科科技,5,20200522,8.37,8.37,8.37,8.37,7.61,0.76,9.9869,174961,146442.77599999998,新型电力,6.54,8.2,-154.79000000000002,-2.03
758,000551.SZ,创元科技,4,20200525,10.5,10.99,10.2,10.99,9.99,1.0,10.01,594648,641025.585,专用机械,10.12,11.42,-144.67000000000002,3.91
760,300367.SZ,ST网力,5,20200528,4.38,4.38,4.33,4.38,3.98,0.4,10.0503,1116793,489106.037,IT设备,-8.06,4.44,-152.73000000000002,1.37
761,000567.SZ,海德股份,6,20200603,14.69,15.22,14.5,15.22,13.84,1.38,9.9711,881725,1327567.656,多元金融,-16.66,15.23,-169.39000000000001,0.07
762,603353.SH,和顺石油,4,20200609,45.27,45.27,42.5,45.27,41.15,4.12,10.0122,131647,583277.186,石油贸易,-6.09,47.03,-175.48000000000002,3.89
766,600859.SH,王府井,5,20200615,38.7,40.08,38.0,40.08,36.44,3.64,9.988999999999999,416365,1654780.0269999998,百货,-3.23,41.0,-178.71,2.3
769,002425.SZ,凯撒文化,6,20200619,16.52,16.52,15.69,16.52,15.02,1.5,9.9867,2829146,4628498.893,互联网,-0.48,16.53,-179.19,0.06
770,002909.SZ,集泰股份,3,20200622,10.72,11.3,10.72,11.3,10.27,1.03,10.0292,119701,134151.101,化工原料,-20.09,11.7,-199.28,3.54
772,600318.SH,新力金融,4,20200624,12.49,12.87,12.14,12.87,11.7,1.17,10.0,1028735,1310895.642,多元金融,5.23,12.89,-194.05,0.16
773,300612.SZ,宣亚国际,3,20200629,24.2,27.37,23.14,27.37,24.88,2.49,10.008,141559,361238.50299999997,广告包装,11.49,27.0,-182.56,-1.35
774,300612.SZ,宣亚国际,4,20200630,27.0,30.11,26.2,30.11,27.37,2.74,10.011000000000001,114035,331611.291,广告包装,3.13,31.59,-179.43,4.92
776,300464.SZ,星徽精密,9,20200708,23.33,23.33,22.2,23.33,21.21,2.12,9.9953,171004,397055.196,机械基件,0.19,24.49,-179.24,4.97
777,300464.SZ,星徽精密,10,20200709,24.49,25.66,23.6,25.66,23.33,2.33,9.9871,336850,827422.145,机械基件,-4.21,25.8,-183.45000000000002,0.55
778,000698.SZ,沈阳化工,8,20200713,6.61,6.61,6.4,6.61,6.01,0.6,9.9834,584738,386162.69700000004,化工原料,13.61,6.88,-169.84000000000003,4.08
780,000698.SZ,沈阳化工,10,20200715,8.0,8.0,8.0,8.0,7.27,0.73,10.0413,150468,120374.51199999999,化工原料,-14.35,8.2,-184.19000000000003,2.5
781,603488.SH,展鹏科技,5,20200716,10.33,10.33,9.55,10.33,9.39,0.94,10.0106,586921,591985.7239999999,电气设备,-16.83,10.25,-201.02000000000004,-0.77
782,000524.SZ,岭南控股,5,20200717,11.12,11.12,11.12,11.12,10.11,1.01,9.9901,120854,134389.725,酒店餐饮,-16.84,10.9,-217.86000000000004,-1.98
787,600178.SH,东安动力,6,20200724,9.34,9.34,9.3,9.34,8.49,0.85,10.0118,450207,420489.054,汽车配件,-16.91,9.12,-234.77000000000004,-2.36
789,000411.SZ,英特集团,3,20200728,17.04,17.04,16.45,17.04,15.49,1.55,10.0065,300914,512105.675,医药商业,35.31,17.52,-199.46000000000004,2.82
796,000828.SZ,东莞控股,6,20200806,13.0,13.75,12.25,13.75,12.5,1.25,10.0,1232577,1610947.039,路桥,17.03,13.61,-182.43000000000004,-1.02
