,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
801,300278.SZ,华昌达,4,20200814,6.28,6.4,5.8,6.4,5.82,0.58,9.9656,733126,454169.586,专用机械,分歧板,6.1,3.75
802,300278.SZ,华昌达,5,20200817,6.64,7.04,6.03,7.04,6.4,0.64,10.0,1455321,975155.225,专用机械,一般板,-11.95,5.11
805,600589.SH,广东榕泰,3,20200820,5.13,5.69,4.91,5.69,5.17,0.52,10.058,1003350,542009.121,塑料,一般板,-17.57,5.8
808,300313.SZ,天山生物,9,20200826,12.0,13.4,10.53,13.4,11.17,2.23,19.9642,521667,644473.844,农业综合,一般板,33.83,-7.54
812,300313.SZ,天山生物,15,20200903,19.3,23.16,18.51,23.16,19.3,3.86,20.0,671737,1401383.715,农业综合,一般板,30.82,-9.5
815,300301.SZ,长方集团,10,20200908,7.7,8.3,7.15,8.3,6.92,1.38,19.9422,1985082,1571777.655,半导体,分歧板,-11.57,-20.0
816,300185.SZ,通裕重工,5,20200909,5.63,6.46,5.63,6.04,5.38,0.66,12.2677,10873231,6758369.039,工程机械,一般板,-25.7,-6.13
818,300863.SZ,卡倍亿,8,20200916,106.25,127.5,100.01,127.5,106.25,21.25,20.0,84897,975534.7390000001,汽车配件,一般板,-1.84,3.53
821,600481.SH,双良节能,4,20200921,4.94,4.94,4.94,4.94,4.49,0.45,10.0223,76604,37842.712,环境保护,加速板,17.36,3.64
823,600481.SH,双良节能,6,20200923,5.9,5.97,5.9,5.97,5.43,0.54,9.9448,604810,359781.19200000004,环境保护,加速板,-12.54,5.53
831,300062.SZ,中能电气,7,20201015,13.27,15.31,12.33,14.48,12.76,1.72,13.4796,1032920,1449305.0769999998,电气设备,一般板,-4.93,-6.77
832,300819.SZ,聚杰微纤,4,20201016,39.01,44.59,39.01,44.59,37.16,7.43,19.9946,167873,714021.7940000001,化纤,一般板,-1.84,3.16
833,300819.SZ,聚杰微纤,5,20201019,46.0,53.51,42.02,50.59,44.59,6.0,13.4559,177736,865568.875,化纤,一般板,-1.03,-6.11
837,300582.SZ,英飞特,6,20201026,24.0,28.34,23.0,28.34,23.62,4.72,19.9831,585725,1490373.0780000002,半导体,一般板,-11.16,5.5
