,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
178,000019.SZ,深粮控股,3,20160818,17.27,18.87,17.11,18.87,17.15,1.72,10.03,884742,1589644.3741,其他商业,一般板,-14.27,4.29
184,002319.SZ,*ST乐通,3,20160905,20.91,20.91,20.91,20.91,19.01,1.9,9.99,6532,13660.1475,染料涂料,一般板,-5.44,4.73
187,000678.SZ,襄阳轴承,2,20160914,10.2,10.2,10.2,10.2,9.27,0.93,10.03,72830,74287.0998,机械基件,一般板,0.65,3.63
193,000757.SZ,浩物股份,2,20161010,10.09,10.59,9.83,10.59,9.63,0.96,9.97,761977,773588.0607,汽车配件,一般板,8.63,5.67
196,600657.SH,信达地产,2,20161014,6.43,6.84,6.4,6.84,6.22,0.62,9.97,1399078,940909.0179999999,全国地产,分歧板,1.63,4.68
199,000912.SZ,泸天化,4,20161024,10.3,11.14,10.23,11.14,10.13,1.01,9.97,442289,482224.3661,农药化肥,一般板,9.19,5.57
203,000935.SZ,四川双马,4,20161101,34.33,35.24,33.0,35.24,32.04,3.2,9.99,220065,765025.8570000001,水泥,一般板,-0.7,4.99
221,600722.SH,金牛化工,4,20161215,13.1,13.29,12.56,13.29,12.08,1.21,10.02,1167686,1529712.7030000002,化工原料,分歧板,-10.35,-10.01
222,002561.SZ,徐家汇,4,20161219,20.0,20.66,19.8,20.66,18.78,1.88,10.01,853878,1736027.604,百货,分歧板,-11.7,-6.1
227,002300.SZ,太阳电缆,3,20170106,12.9,13.65,12.52,13.65,12.41,1.24,9.99,555294,739527.536,电气设备,一般板,-2.24,5.49
228,002388.SZ,新亚制程,2,20170113,11.98,12.8,11.8,12.8,11.64,1.16,9.97,616756,774477.974,元器件,分歧板,-7.83,4.61
229,603689.SH,皖天然气,3,20170118,19.41,20.08,18.58,20.08,18.25,1.83,10.03,392890,767174.559,供气供热,一般板,-3.51,-7.82
230,300311.SZ,任子行,3,20170119,15.58,17.44,15.4,17.44,15.85,1.59,10.03,394872,646244.083,软件服务,一般板,8.15,4.07
235,603663.SH,三祥新材,3,20170208,36.5,38.82,35.53,38.82,35.29,3.53,10.0,101419,382219.224,矿物制品,一般板,-6.7,4.61
244,300374.SZ,中铁装配,2,20170309,22.08,23.8,22.0,23.8,21.64,2.16,9.98,119114,272217.925,其他建材,一般板,-5.93,5.0
245,603881.SH,数据港,2,20170310,58.27,58.27,58.27,58.27,52.97,5.3,10.01,17394,101356.295,电信运营,加速板,16.91,4.99
248,601212.SH,白银有色,3,20170315,12.37,12.93,12.15,12.93,11.75,1.18,10.04,2254727,2839179.2260000003,铜,一般板,8.98,5.72
251,002302.SZ,西部建设,3,20170324,15.68,16.42,15.4,16.42,14.93,1.49,9.98,690406,1112233.425,水泥,一般板,4.78,4.14
258,600008.SH,首创股份,6,20170413,7.6,8.33,7.58,8.33,7.57,0.76,10.04,9810780,7836580.835,环境保护,分歧板,-10.55,-7.68
261,000856.SZ,冀东装备,3,20170426,29.57,31.14,29.57,31.14,28.31,2.83,10.0,759762,2324497.501,机械基件,一般板,19.69,5.97
268,002865.SZ,钧达股份,2,20170509,27.5,30.72,26.95,30.72,27.93,2.79,9.99,127913,380521.21200000006,汽车配件,一般板,16.04,4.17
270,002865.SZ,钧达股份,4,20170511,32.0,37.17,31.5,37.17,33.79,3.38,10.0,187436,642001.343,汽车配件,一般板,-7.34,4.76
271,002350.SZ,北京科锐,4,20170519,27.23,27.23,27.23,27.23,24.75,2.48,10.02,55156,150190.93099999998,电气设备,分歧板,-5.16,4.63
