,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
115,000019.SZ,深粮控股,3,20160201,13.52,13.52,12.91,13.52,12.29,1.23,10.01,400837,537832.9111,其他商业,分歧板,31.7,-2.44
126,600533.SH,栖霞建设,3,20160302,6.5,6.73,6.34,6.73,6.12,0.61,9.97,1683125,1111632.386,区域地产,分歧板,,
128,000029.SZ,深深房A,4,20160304,13.02,13.02,12.63,13.02,11.84,1.18,9.97,1138548,1475606.7709,区域地产,分歧板,-4.1,-0.23
131,000909.SZ,数源科技,5,20160323,20.11,20.92,19.63,20.92,19.02,1.9,9.99,700989,1427066.4075,综合类,分歧板,-3.21,-1.48
133,002323.SZ,*ST雅博,2,20160325,35.43,35.43,35.43,35.43,32.21,3.22,10.0,2507,8883.0096,建筑工程,加速板,,
134,002323.SZ,*ST雅博,3,20160328,38.97,38.97,38.97,38.97,35.43,3.54,9.99,11076,43166.2117,建筑工程,分歧板,7.73,-2.46
137,601608.SH,中信重工,4,20160406,7.0,7.27,6.89,7.27,6.61,0.66,9.98,3166296,2258092.536,专用机械,分歧板,-8.48,-0.28
143,000829.SZ,天音控股,4,20160420,16.26,16.26,16.26,16.26,14.78,1.48,10.01,318385,517694.888,其他商业,分歧板,-19.26,4.55
144,002610.SZ,爱康科技,2,20160425,13.35,13.35,13.35,13.35,12.14,1.21,9.97,89445,119409.2886,电气设备,加速板,,
152,300340.SZ,科恒股份,4,20160516,40.5,42.02,37.2,42.02,38.2,3.82,10.0,349618,1396242.0823,元器件,分歧板,-2.8,-2.43
158,002533.SZ,金杯电工,3,20160608,13.89,13.89,12.82,13.89,12.63,1.26,9.98,1391821,1881109.645,电气设备,分歧板,-10.03,-2.81
160,002112.SZ,三变科技,4,20160617,25.44,25.44,25.44,25.44,23.13,2.31,9.99,23643,60149.2421,电气设备,分歧板,-6.64,-0.04
166,000603.SZ,盛达资源,3,20160705,23.88,24.33,23.11,24.33,22.12,2.21,9.99,615071,1464988.0228,铅锌,分歧板,0.94,-2.18
167,002766.SZ,ST索菱,4,20160707,41.0,42.24,40.2,42.24,38.4,3.84,10.0,342440,1436167.6438,汽车配件,分歧板,-7.54,2.13
169,002314.SZ,南山控股,2,20160719,7.51,7.51,7.51,7.51,6.83,0.68,9.96,13770,10341.3977,区域地产,加速板,,
170,002314.SZ,南山控股,3,20160720,8.26,8.26,8.26,8.26,7.51,0.75,9.99,2133,1762.1058,区域地产,加速板,-10.28,8.96
175,600919.SH,江苏银行,5,20160805,12.01,12.01,11.2,12.01,10.92,1.09,9.98,5469613,6432869.097999999,银行,分歧板,1.31,-1.75
179,002611.SZ,东方精工,4,20160822,14.42,14.42,14.42,14.42,13.11,1.31,9.99,7803,11252.0846,轻工机械,分歧板,,
180,002611.SZ,东方精工,5,20160823,15.8,15.86,14.42,15.86,14.42,1.44,9.99,640567,976034.0834,轻工机械,分歧板,-5.76,0.57
181,603778.SH,乾景园林,2,20160824,28.31,30.6,28.09,30.6,27.82,2.78,9.99,220932,664449.94,建筑工程,分歧板,-4.44,1.31
183,002319.SZ,*ST乐通,2,20160902,19.01,19.01,19.01,19.01,17.28,1.73,10.01,5644,10729.7383,染料涂料,加速板,,
196,600657.SH,信达地产,2,20161014,6.43,6.84,6.4,6.84,6.22,0.62,9.97,1399078,940909.0179999999,全国地产,分歧板,1.63,4.68
202,603777.SH,来伊份,6,20161031,53.0,58.03,50.03,58.03,52.75,5.28,10.01,312771,1687435.174,食品,分歧板,19.35,-3.48
204,000935.SZ,四川双马,5,20161102,37.0,38.76,36.2,38.75,35.24,3.51,9.96,685192,2609195.305,水泥,分歧板,-13.64,-0.28
205,000912.SZ,泸天化,3,20161104,15.5,16.35,14.11,16.35,14.86,1.49,10.03,1545681,2387793.8219999997,农药化肥,分歧板,-5.12,-4.59
208,000510.SZ,新金路,3,20161110,14.38,14.38,14.38,14.38,13.07,1.31,10.02,35288,50744.273,化工原料,加速板,,
221,600722.SH,金牛化工,4,20161215,13.1,13.29,12.56,13.29,12.08,1.21,10.02,1167686,1529712.7030000002,化工原料,分歧板,-10.35,-10.01
222,002561.SZ,徐家汇,4,20161219,20.0,20.66,19.8,20.66,18.78,1.88,10.01,853878,1736027.604,百货,分歧板,-11.7,-6.1
228,002388.SZ,新亚制程,2,20170113,11.98,12.8,11.8,12.8,11.64,1.16,9.97,616756,774477.974,元器件,分歧板,-7.83,4.61
233,002725.SZ,跃岭股份,3,20170126,25.6,28.24,24.01,28.24,25.67,2.57,10.01,263482,707389.317,汽车配件,分歧板,-6.11,-0.85
236,002824.SZ,和胜股份,5,20170213,52.35,52.35,46.1,52.35,47.59,4.76,10.0,226070,1178043.252,铝,分歧板,3.4,1.24
238,002839.SZ,张家港行,6,20170217,17.82,17.82,17.82,17.82,16.2,1.62,10.0,91917,163797.163,银行,加速板,1.82,-1.07
245,603881.SH,数据港,2,20170310,58.27,58.27,58.27,58.27,52.97,5.3,10.01,17394,101356.295,电信运营,加速板,16.91,4.99
246,603881.SH,数据港,3,20170313,61.18,64.1,60.47,64.1,58.27,5.83,10.01,99366,622914.407,电信运营,分歧板,,
254,601200.SH,上海环境,3,20170405,29.29,32.22,26.66,32.22,29.29,2.93,10.0,394627,1239233.061,环境保护,分歧板,17.13,7.08
256,601200.SH,上海环境,5,20170407,38.98,38.98,38.98,38.98,35.44,3.54,9.99,26428,103017.241,环境保护,加速板,-24.23,8.7
257,000605.SZ,渤海股份,6,20170412,36.1,36.1,34.72,36.1,32.82,3.28,9.99,231996,837046.338,水务,分歧板,-12.1,-5.82
258,600008.SH,首创股份,6,20170413,7.6,8.33,7.58,8.33,7.57,0.76,10.04,9810780,7836580.835,环境保护,分歧板,-10.55,-7.68
260,300629.SZ,新劲刚,3,20170419,54.78,54.78,54.78,54.78,49.8,4.98,10.0,4825,26434.197999999997,元器件,加速板,-9.45,0.0
271,002350.SZ,北京科锐,4,20170519,27.23,27.23,27.23,27.23,24.75,2.48,10.02,55156,150190.93099999998,电气设备,分歧板,-5.16,4.63
275,000638.SZ,万方发展,3,20170606,13.55,14.14,12.95,14.14,12.85,1.29,10.04,540812,744506.9920000001,软件服务,分歧板,8.44,3.11
281,300153.SZ,科泰电源,3,20170615,14.48,15.07,14.37,15.07,13.7,1.37,10.0,307662,452674.62100000004,电气设备,分歧板,-2.13,-0.46
286,300633.SZ,开立医疗,2,20170704,21.78,22.53,21.5,22.53,20.48,2.05,10.01,184183,406694.348,医疗保健,分歧板,21.3,-0.13
296,600569.SH,安阳钢铁,3,20170807,4.42,4.42,4.15,4.42,4.02,0.4,9.95,3366628,1467788.076,普钢,分歧板,-8.43,2.49
299,002580.SZ,圣阳股份,2,20170810,8.67,8.95,8.57,8.95,8.14,0.81,9.95,802472,706579.905,电气设备,分歧板,3.36,-2.01
305,603602.SH,纵横通信,3,20170822,46.87,46.87,46.87,46.87,42.61,4.26,10.0,3884,18204.495,通信设备,加速板,44.65,5.82
306,603602.SH,纵横通信,4,20170823,49.6,51.56,48.12,51.56,46.87,4.69,10.01,86257,430819.79,通信设备,分歧板,,
308,603602.SH,纵横通信,6,20170825,62.39,62.39,62.39,62.39,56.72,5.67,10.0,6623,41326.949,通信设备,加速板,,
309,603602.SH,纵横通信,7,20170828,68.63,68.63,68.63,68.63,62.39,6.24,10.0,918,6300.234,通信设备,加速板,-15.97,9.27
310,603042.SH,华脉科技,3,20170829,33.7,33.72,32.24,33.72,30.65,3.07,10.02,222478,742978.1340000001,通信设备,分歧板,7.94,-2.14
314,300672.SZ,国科微,3,20170907,48.13,48.13,48.13,48.13,43.75,4.38,10.01,8679,41774.096,半导体,加速板,-2.2,1.81
326,300585.SZ,奥联电子,4,20171011,25.68,26.73,24.72,26.73,24.3,2.43,10.0,255824,662102.4739999999,汽车配件,分歧板,0.92,-1.98
341,603937.SH,丽岛新材,2,20171114,27.61,29.6,27.55,29.6,26.91,2.69,10.0,325761,944701.579,铝,分歧板,16.55,-8.75
346,002214.SZ,大立科技,3,20171123,8.9,9.23,8.68,9.23,8.39,0.84,10.01,596769,543267.015,电器仪表,分歧板,-9.54,-0.43
358,600025.SH,华能水电,6,20171221,4.57,4.57,4.28,4.57,4.15,0.42,10.12,7544678,3381055.1,水力发电,分歧板,13.35,0.66
363,603363.SH,傲农生物,4,20171228,17.49,18.35,16.91,18.35,16.68,1.67,10.01,361002,630628.889,饲料,分歧板,-12.39,-3.49
378,603895.SH,天永智能,4,20180212,58.5,58.51,56.91,58.51,53.19,5.32,10.0,34025,198937.34600000002,专用机械,加速板,-14.39,5.96
381,600579.SH,克劳斯,4,20180223,10.8,11.32,10.28,11.32,10.29,1.03,10.01,183854,196737.238,化工机械,分歧板,,
387,300624.SZ,万兴科技,6,20180308,79.97,80.56,78.0,80.56,73.24,7.32,9.99,19891,158992.697,软件服务,加速板,,
388,000790.SZ,华神科技,4,20180309,9.44,9.45,9.04,9.45,8.59,0.86,10.01,602527,562947.425,中成药,分歧板,-6.8,3.7
392,300624.SZ,万兴科技,8,20180319,97.46,97.48,95.0,97.48,88.62,8.86,10.0,43089,419048.75,软件服务,分歧板,6.41,4.64
