,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry
142,603616.SH,韩建河山,6,20150807,42.0,48.47,41.0,48.47,44.06,4.41,10.01,194914,879493.695,其他建材
143,002188.SZ,ST巴士,5,20150810,29.49,30.45,28.8,30.45,27.68,2.77,10.01,58878,177431.6859,广告包装
144,002188.SZ,ST巴士,6,20150811,33.02,33.5,32.61,33.5,30.45,3.05,10.02,109575,366109.7473,广告包装
145,600838.SH,上海九百,4,20150812,13.0,14.19,12.7,14.19,12.9,1.29,10.0,720962,975216.901,百货
146,002607.SZ,中公教育,4,20150812,11.1,12.75,10.96,12.74,11.59,1.15,9.92,426319,522948.799,文教休闲
147,600876.SH,洛阳玻璃,4,20150812,26.93,29.61,26.06,29.61,26.92,2.69,9.99,426968,1177149.26,玻璃
148,000048.SZ,京基智农,4,20150812,29.0,31.12,28.45,31.12,28.29,2.83,10.0,84133,257626.5918,饲料
149,600868.SH,梅雁吉祥,4,20150812,7.0,7.4,6.84,7.4,6.73,0.67,9.96,6431043,4623005.388,水力发电
0,600868.SH,梅雁吉祥,5,20150813,7.42,8.14,7.42,8.14,7.4,0.74,10.0,3796388,2984080.508,水力发电
1,600876.SH,洛阳玻璃,5,20150813,29.0,32.57,28.5,32.57,29.61,2.96,10.0,324184,1011753.747,玻璃
2,600838.SH,上海九百,5,20150813,14.18,15.61,13.9,15.61,14.19,1.42,10.01,405379,607282.427,百货
3,600876.SH,洛阳玻璃,6,20150814,34.4,35.83,33.01,35.83,32.57,3.26,10.01,293689,1036788.146,玻璃
4,600838.SH,上海九百,6,20150814,17.17,17.17,17.17,17.17,15.61,1.56,9.99,71119,122112.92,百货
5,600868.SH,梅雁吉祥,6,20150814,8.83,8.95,8.5,8.95,8.14,0.81,9.95,4218154,3752309.566,水力发电
6,600838.SH,上海九百,7,20150817,17.8,18.89,16.98,18.89,17.17,1.72,10.02,962141,1717362.217,百货
7,600876.SH,洛阳玻璃,7,20150817,36.08,39.41,35.88,39.41,35.83,3.58,9.99,216993,832105.032,玻璃
8,600868.SH,梅雁吉祥,7,20150817,9.32,9.85,8.99,9.85,8.95,0.9,10.06,2349845,2273480.356,水力发电
9,000558.SZ,莱茵体育,4,20150818,24.03,24.41,22.01,24.41,22.19,2.22,10.0,834714,2030708.3359,文教休闲
10,000558.SZ,莱茵体育,5,20150819,21.97,26.85,21.97,26.85,24.41,2.44,10.0,870738,2159522.0056,文教休闲
11,300229.SZ,拓尔思,2,20150820,33.14,33.14,31.91,33.14,30.13,3.01,9.99,609302,2010985.4629,软件服务
12,002266.SZ,浙富控股,2,20150820,11.04,11.04,11.04,11.04,10.04,1.0,9.96,170213,187915.6157,环境保护
13,000413.SZ,东旭光电,2,20150820,10.38,10.38,9.8,10.38,9.44,0.94,9.96,2881988,2984471.9166,元器件
14,603021.SH,山东华鹏,2,20150820,44.75,49.23,44.75,49.23,44.75,4.48,10.01,72182,346961.709,玻璃
15,601137.SH,博威合金,2,20150820,22.8,24.09,22.66,24.09,21.9,2.19,10.0,182878,431065.633,铜
16,600749.SH,西藏旅游,2,20150820,26.6,28.19,26.37,28.19,25.63,2.56,9.99,381571,1050981.451,旅游景点
17,600022.SH,山东钢铁,2,20150820,4.9,5.28,4.81,5.28,4.8,0.48,10.0,4595936,2306420.548,普钢
18,600007.SH,中国国贸,2,20150820,17.8,19.4,17.44,19.4,17.64,1.76,9.98,325138,600901.495,园区开发
19,000713.SZ,丰乐种业,2,20150820,14.1,14.53,13.6,14.52,13.21,1.31,9.92,535203,765082.6639,种植业
20,000735.SZ,罗牛山,2,20150820,9.17,9.45,9.04,9.45,8.59,0.86,10.01,1853601,1732306.9868,农业综合
21,002743.SZ,富煌钢构,2,20150820,31.09,34.36,29.76,34.36,31.24,3.12,9.99,121460,405645.6676,钢加工
22,300067.SZ,安诺其,2,20150820,13.35,13.35,13.05,13.35,12.14,1.21,9.97,491810,655881.4107,染料涂料
23,002266.SZ,浙富控股,3,20150821,11.29,12.14,11.05,12.14,11.04,1.1,9.96,4886246,5767972.941,环境保护
24,603021.SH,山东华鹏,3,20150821,49.26,54.15,48.68,54.15,49.23,4.92,9.99,62052,323066.16,玻璃
25,603568.SH,伟明环保,2,20150826,47.77,52.75,46.26,52.75,47.95,4.8,10.01,154512,793259.589,环境保护
26,000628.SZ,高新发展,2,20150826,11.45,11.45,11.01,11.45,10.41,1.04,9.99,214739,245033.7254,园区开发
27,300464.SZ,星徽精密,2,20150826,38.99,40.92,38.33,40.92,37.2,3.72,10.0,78601,319649.3379,机械基件
28,000628.SZ,高新发展,3,20150827,12.4,12.6,12.15,12.6,11.45,1.15,10.04,175240,219771.2459,园区开发
29,603568.SH,伟明环保,3,20150827,51.5,58.03,47.48,58.0,52.75,5.25,9.95,170153,861189.084,环境保护
30,000628.SZ,高新发展,4,20150828,13.86,13.86,13.86,13.86,12.6,1.26,10.0,17208,23851.3968,园区开发
31,002179.SZ,中航光电,3,20150831,38.32,38.32,36.66,38.32,34.84,3.48,9.99,590211,2239130.4391,元器件
32,300080.SZ,易成新能,3,20150831,8.49,9.31,8.1,9.31,8.46,0.85,10.05,369594,331231.8814,电气设备
33,601766.SH,中国中车,3,20150831,12.6,13.3,12.2,13.3,12.09,1.21,10.01,9934433,12651194.065,运输设备
34,000738.SZ,航发控制,3,20150831,28.8,30.02,27.77,30.02,27.29,2.73,10.0,670013,1934865.9269,航空
35,600810.SH,神马股份,3,20150831,8.86,8.86,8.86,8.86,8.05,0.81,10.06,16660,14761.008,化纤
36,002027.SZ,分众传媒,2,20150902,15.05,15.05,15.05,15.05,13.68,1.37,10.01,55422,83410.9077,影视音像
37,002346.SZ,柘中股份,2,20150902,12.0,13.67,11.43,13.67,12.43,1.24,9.98,234237,307182.8373,电气设备
38,002027.SZ,分众传媒,3,20150907,16.56,16.56,16.56,16.56,15.05,1.51,10.03,9127,15114.577,影视音像
39,002027.SZ,分众传媒,4,20150908,18.22,18.22,18.22,18.22,16.56,1.66,10.02,8702,15855.2444,影视音像
40,002027.SZ,分众传媒,5,20150909,20.04,20.04,20.04,20.04,18.22,1.82,9.99,7032,14093.2903,影视音像
