,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,sum
33,603030.SH,全筑股份,5,20150402,33.46,33.46,33.46,33.46,30.42,3.04,9.99,5713,19117.07,装修装饰,,
34,603030.SH,全筑股份,6,20150403,36.81,36.81,33.46,36.81,33.46,3.35,10.01,58730,215265.486,装修装饰,-9.11,149.82999999999998
35,601010.SH,文峰股份,4,20150407,40.49,43.04,40.02,43.04,39.13,3.91,9.99,336277,1408667.0369999998,超市连锁,1.18,151.01
36,601010.SH,文峰股份,5,20150408,43.6,47.34,41.0,47.34,43.04,4.3,9.99,453464,2050138.352,超市连锁,-56.62,94.38999999999999
37,600035.SH,楚天高速,6,20150415,10.2,10.45,9.6,10.45,9.5,0.95,10.0,1561904,1599091.7769999998,路桥,4.49,98.87999999999998
38,600035.SH,楚天高速,7,20150416,8.99,9.52,8.98,9.52,8.65,0.87,10.06,929126,877085.725,路桥,-14.04,84.83999999999997
39,601766.SH,中国中车,5,20150417,35.88,35.88,35.88,35.88,32.62,3.26,9.99,389499,1397522.4119999998,运输设备,,
40,000410.SZ,*ST沈机,4,20150420,22.61,22.61,22.61,22.61,20.55,2.06,10.02,9565,21628.2738,机床制造,,
41,000410.SZ,*ST沈机,5,20150421,24.87,24.87,24.87,24.87,22.61,2.26,10.0,20502,50989.2947,机床制造,,
42,000410.SZ,*ST沈机,6,20150422,27.36,27.36,25.51,27.36,24.87,2.49,10.01,680700,1857162.3336,机床制造,4.21,89.04999999999997
43,601106.SH,中国一重,6,20150423,11.0,11.62,10.81,11.62,10.56,1.06,10.04,7907714,9070044.522,工程机械,-1.69,87.35999999999997
44,002721.SZ,金一文化,4,20150428,58.99,59.88,58.99,59.88,54.44,5.44,9.99,21814,129918.8954,服饰,-12.38,74.97999999999998
45,600688.SH,上海石化,4,20150429,10.09,10.45,9.4,10.45,9.5,0.95,10.0,5119940,5139544.808,石油加工,-8.88,66.09999999999998
46,000875.SZ,吉电股份,5,20150504,15.11,15.11,14.5,15.11,13.74,1.37,9.97,313775,473085.9853,火力发电,,
47,600744.SH,华银电力,4,20150505,9.97,9.97,9.1,9.97,9.06,0.91,10.04,1600297,1559208.914,火力发电,0.07,66.16999999999997
48,300276.SZ,三丰智能,3,20150506,27.09,27.09,24.92,27.09,24.63,2.46,9.99,136415,366037.4956,专用机械,-1.61,64.55999999999997
49,002326.SZ,永太科技,4,20150508,23.5,24.4,22.41,24.4,22.18,2.22,10.01,517746,1226226.27,化工原料,,
50,002625.SZ,光启技术,6,20150513,87.0,87.0,87.0,87.0,79.09,7.91,10.0,7228,62884.47,汽车配件,,
51,002427.SZ,ST尤夫,6,20150528,25.78,25.78,25.1,25.78,23.44,2.34,9.98,85550,219870.59399999998,化纤,4.85,69.40999999999997
52,002427.SZ,ST尤夫,7,20150529,26.78,28.36,23.2,28.36,25.78,2.58,10.01,309473,813153.9379,化纤,6.51,75.91999999999997
53,002427.SZ,ST尤夫,8,20150601,29.5,31.2,28.36,31.2,28.36,2.84,10.01,225598,683180.3017,化纤,-10.88,65.03999999999998
54,300040.SZ,九洲集团,3,20150608,13.53,13.53,13.53,13.53,12.3,1.23,10.0,702,950.2389999999999,电气设备,,
55,300040.SZ,九洲集团,4,20150609,14.88,14.88,14.88,14.88,13.53,1.35,9.98,285,424.3181,电气设备,,
56,300040.SZ,九洲集团,5,20150610,16.37,16.37,16.37,16.37,14.88,1.49,10.01,29241,47867.9263,电气设备,10.4,75.43999999999998
57,300040.SZ,九洲集团,6,20150611,17.2,18.01,17.03,18.01,16.37,1.64,10.02,87631,153104.9042,电气设备,,
58,300040.SZ,九洲集团,7,20150612,19.81,19.81,19.81,19.81,18.01,1.8,9.99,25948,51403.9191,电气设备,-16.83,58.609999999999985
59,300205.SZ,天喻信息,2,20150617,38.3,43.35,37.0,43.35,39.41,3.94,10.0,418736,1697334.0605,元器件,-17.32,41.289999999999985
60,600599.SH,*ST熊猫,3,20150618,40.29,40.29,40.29,40.29,36.63,3.66,9.99,1176,4741.206,多元金融,,
61,600599.SH,*ST熊猫,4,20150619,44.32,44.32,44.32,44.32,40.29,4.03,10.0,580,2573.3520000000003,多元金融,,
62,600599.SH,*ST熊猫,5,20150623,48.75,48.75,48.75,48.75,44.32,4.43,10.0,17594,85775.528,多元金融,,
63,600599.SH,*ST熊猫,6,20150624,53.63,53.63,53.63,53.63,48.75,4.88,10.01,17545,94095.28300000001,多元金融,,
64,000020.SZ,深华发A,4,20150629,27.95,29.55,25.25,29.55,26.86,2.69,10.01,222174,633972.6236,元器件,-13.12,28.169999999999987
65,002569.SZ,ST步森,3,20150702,21.0,24.72,20.22,24.72,22.47,2.25,10.01,140664,319174.2252,服饰,11.49,39.65999999999999
66,601599.SH,鹿港文化,5,20150723,18.39,18.39,17.5,18.39,16.72,1.67,9.99,288300,529180.863,影视音像,-4.9,34.75999999999999
67,601599.SH,鹿港文化,6,20150724,19.0,20.23,18.5,20.23,18.39,1.84,10.01,657886,1290144.237,影视音像,-17.6,17.15999999999999
68,300480.SZ,光力科技,5,20150727,48.0,53.0,46.0,53.0,48.18,4.82,10.0,95794,499367.6192,专用机械,28.14,45.29999999999999
69,300480.SZ,光力科技,6,20150728,47.8,58.3,47.8,58.3,53.0,5.3,10.0,96258,536880.4393,专用机械,,
70,300480.SZ,光力科技,7,20150729,64.13,64.13,61.66,64.13,58.3,5.83,10.0,39816,255067.6651,专用机械,,
71,300480.SZ,光力科技,8,20150730,70.54,70.54,70.0,70.54,64.13,6.41,10.0,23053,162607.7863,专用机械,17.83,63.12999999999999
72,300480.SZ,光力科技,9,20150731,76.0,77.59,74.8,77.59,70.54,7.05,9.99,19770,151277.5531,专用机械,,
73,300480.SZ,光力科技,10,20150803,85.35,85.35,85.35,85.35,77.59,7.76,10.0,3685,31457.3642,专用机械,,
74,300368.SZ,汇金股份,5,20150804,26.22,26.22,25.55,26.22,23.84,2.38,9.98,26153,68551.0348,IT设备,,
75,603616.SH,韩建河山,4,20150805,35.99,40.05,33.11,40.05,36.41,3.64,10.0,92672,345908.282,其他建材,,
76,603616.SH,韩建河山,5,20150806,44.06,44.06,37.65,44.06,40.05,4.01,10.01,281297,1204798.6940000001,其他建材,15.79,78.91999999999999
77,603616.SH,韩建河山,6,20150807,42.0,48.47,41.0,48.47,44.06,4.41,10.01,194914,879493.695,其他建材,-4.78,74.13999999999999
78,002188.SZ,ST巴士,5,20150810,29.49,30.45,28.8,30.45,27.68,2.77,10.01,58878,177431.6859,广告包装,-0.65,73.48999999999998
79,002188.SZ,ST巴士,6,20150811,33.02,33.5,32.61,33.5,30.45,3.05,10.02,109575,366109.7473,广告包装,-6.78,66.70999999999998
80,000558.SZ,莱茵体育,4,20150818,24.03,24.41,22.01,24.41,22.19,2.22,10.0,834714,2030708.3359,文教休闲,18.44,85.14999999999998
81,000558.SZ,莱茵体育,5,20150819,21.97,26.85,21.97,26.85,24.41,2.44,10.0,870738,2159522.0056,文教休闲,-17.55,67.59999999999998
82,000628.SZ,高新发展,4,20150828,13.86,13.86,13.86,13.86,12.6,1.26,10.0,17208,23851.3968,园区开发,-33.41,34.18999999999998
83,002027.SZ,分众传媒,3,20150907,16.56,16.56,16.56,16.56,15.05,1.51,10.03,9127,15114.577,影视音像,,
84,002027.SZ,分众传媒,4,20150908,18.22,18.22,18.22,18.22,16.56,1.66,10.02,8702,15855.2444,影视音像,,
85,002027.SZ,分众传媒,5,20150909,20.04,20.04,20.04,20.04,18.22,1.82,9.99,7032,14093.2903,影视音像,,
86,002027.SZ,分众传媒,6,20150910,22.04,22.04,22.04,22.04,20.04,2.0,9.98,19059,42007.7331,影视音像,,
87,002027.SZ,分众传媒,7,20150911,24.24,24.24,24.24,24.24,22.04,2.2,9.98,15713,38089.7906,影视音像,,
